Recourse_Method,Dataset,ML_Model,L0_distance,L1_distance,L2_distance,Linf_distance,Constraint_Violation,Redundancy,y-Nearest-Neighbours,Success_Rate,Average_Time
cchvae,credit,linear,11.0,3.399187817599333,2.453174159174652,1.0,0.0,9.0,,,
cchvae,credit,linear,10.0,2.714563197228949,1.6538339063328056,1.0,0.0,10.0,,,
cchvae,credit,linear,10.0,1.6098242432869738,1.1558973530904513,1.0,0.0,9.0,,,
cchvae,credit,linear,9.0,0.3385061790062729,0.0477221901681265,0.1596092134714126,0.0,8.0,,,
cchvae,credit,linear,11.0,3.9435149537323984,2.7605651177010744,1.0,0.0,9.0,,,
cchvae,credit,linear,10.0,1.2244022194353998,1.0285326812163291,1.0,0.0,9.0,,,
cchvae,credit,linear,10.0,1.3761478105595684,1.0573278088592646,1.0,0.0,9.0,,,
cchvae,credit,linear,10.0,1.1623921776218091,1.0084160367422352,1.0,0.0,9.0,,,
cchvae,credit,linear,8.0,1.3196958345348409,1.0441024146327875,1.0,0.0,9.0,,,
cchvae,credit,linear,10.0,2.7714480279957123,1.7083486304921298,1.0,0.0,10.0,,,
cchvae,credit,linear,11.0,3.6473762651181056,2.6785767722421507,1.0,0.0,11.0,,,
cchvae,german,linear,,,,,,,,0.0,4.35334881
cchvae,mortgage,linear,,,,,,,,0.0,5.624543175
cchvae,twomoon,linear,,,,,,,,0.0,6.800789355000001
cchvae,breast_cancer,linear,,,,,,,,0.0,2.2058724300000003
cem,adult,linear,2.0,0.9510495434243618,0.7741505244011292,0.8767123287671232,1.0,3.0,0.0899999999999999,1.0,1.51405522
cem,adult,linear,6.0,1.7967100426749956,1.151582975830792,1.0,1.0,7.0,,,
cem,adult,linear,7.0,2.611926954334796,2.1002279782251687,1.0,1.0,7.0,,,
cem,adult,linear,4.0,1.3526563116167143,0.5500172171766896,0.5,1.0,5.0,,,
cem,adult,linear,3.0,1.3764725075842517,1.0879212691161235,1.0,1.0,4.0,,,
cem,adult,linear,6.0,1.130784061762857,0.3113100823286109,0.3919495344161987,0.0,9.0,,,
cem,adult,linear,5.0,1.5068363981407027,0.7016556214215386,0.6438356164383562,1.0,5.0,,,
cem,adult,linear,6.0,1.0745179836675156,0.2560955355342232,0.3226630687713623,1.0,8.0,,,
cem,adult,linear,5.0,1.4372691647713831,1.058748578243856,1.0,1.0,6.0,,,
cem,adult,linear,4.0,0.7489031631719276,0.2484668822576931,0.3835616438356164,1.0,6.0,,,
cem,adult,linear,5.0,1.1528124883716788,0.3759152436833982,0.4931506849315068,1.0,6.0,,,
cem,adult,linear,2.0,0.5842375649231454,0.2628851658614269,0.5068493150684932,1.0,3.0,,,
cem,adult,linear,6.0,1.8076447122617576,1.1820147681842423,1.0,1.0,7.0,,,
cem,adult,linear,4.0,1.6507016498648592,1.2622006097960878,1.0,1.0,4.0,,,
cem,adult,linear,4.0,1.130882176411938,1.01349583864716,1.0,0.0,7.0,,,
cem,adult,linear,2.0,0.6632570360688014,0.2590696882219422,0.4714761972427368,1.0,3.0,,,
cem,adult,linear,4.0,1.4921355252463226,0.5875945534414171,0.5,1.0,4.0,,,
cem,adult,linear,4.0,1.2014739086777706,0.5049172698632444,0.5,1.0,4.0,,,
cem,adult,linear,4.0,1.0240316489038102,0.3288844503292527,0.4691338539123535,1.0,5.0,,,
cem,adult,linear,5.0,1.4453618625070797,0.6338775734449849,0.5616438356164384,1.0,5.0,,,
cem,compass,linear,,,,,,,,0.0,1.6541577099999984
cem,credit,linear,3.0,1.7769023187775477,1.3061032274348603,1.0,2.0,4.0,0.01,1.0,1.2870565800000011
cem,credit,linear,2.0,0.8763458930319568,0.3916362160330781,0.5,1.0,5.0,,,
cem,credit,linear,2.0,0.3974917153320969,0.0791694403092439,0.2079550027847288,1.0,7.0,,,
cem,credit,linear,2.0,0.5462684860766109,0.1493979777643521,0.2829668521881103,1.0,6.0,,,
cem,credit,linear,2.0,0.357264758067606,0.0649167140798567,0.2020595073699951,1.0,6.0,,,
cem,credit,linear,2.0,0.5001578392735988,0.125264764389982,0.2597182989120483,1.0,7.0,,,
cem,credit,linear,2.0,0.6251430523924159,0.1981701077745868,0.349774956703186,1.0,4.0,,,
cem,credit,linear,2.0,0.3407359149280013,0.0582114506229629,0.1793392896652221,1.0,6.0,,,
cem,credit,linear,2.0,0.8829192025916988,0.3910590513761037,0.4668160676956177,1.0,3.0,,,
cem,credit,linear,2.0,0.8938524801811657,0.4007740847469279,0.472303032875061,1.0,4.0,,,
cem,credit,linear,2.0,0.8225841779138565,0.3395874548080262,0.4364427328109741,1.0,5.0,,,
cem,credit,linear,2.0,0.9790705492911852,0.4795085863611489,0.5,1.0,5.0,,,
cem,credit,linear,2.0,0.498920236727752,0.1306606595044859,0.3051376342773437,1.0,6.0,,,
cem,credit,linear,2.0,0.6014621278647424,0.1819035150409149,0.323371410369873,1.0,4.0,,,
cem,credit,linear,2.0,0.3965101242065429,0.0787796027493925,0.2074600458145141,1.0,2.0,,,
cem,credit,linear,2.0,0.4216459989547729,0.0897689630546239,0.2317548990249633,1.0,2.0,,,
cem,credit,linear,4.0,2.008430619826366,1.5000710751781927,1.0,2.0,8.0,,,
cem,credit,linear,4.0,2.03307394018758,1.501093884843071,1.0,2.0,8.0,,,
cem,credit,linear,2.0,0.7957387096205326,0.3374613769340159,0.5,1.0,5.0,,,
cem,credit,linear,4.0,2.0116731622269928,1.500136262471801,1.0,2.0,8.0,,,
cem,german,linear,3.0,1.3128678840304693,0.8589170539755435,0.8392857142857143,1.0,2.0,1.0,0.65,1.6581528450000007
cem,german,linear,2.0,0.2057236398460826,0.0278549235821514,0.1607142857142857,1.0,3.0,,,
cem,german,linear,3.0,0.4433085218240482,0.0970692604841892,0.2857142857142857,1.0,2.0,,,
cem,german,linear,3.0,0.7240067535763066,0.2468263045659663,0.4464285714285714,1.0,2.0,,,
cem,german,linear,3.0,0.8889940426484229,0.3267958339925789,0.4705882352941176,1.0,2.0,,,
cem,german,linear,3.0,1.3801710680970969,0.7199096233561398,0.6333223286012986,1.0,1.0,,,
cem,german,linear,3.0,1.4367700695332606,0.8692379133936757,0.8235294117647058,1.0,0.0,,,
